2026-09-17 13:02:42,581 | DEBUG | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:14 | lightweight_dataset module loaded
2026-09-17 13:02:42,581 | INFO | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:15 | lightweight_dataset info test
2026-09-17 13:02:42,581 | WARNING | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:16 | lightweight_dataset warning test
2026-09-17 13:03:04,283 | DEBUG | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:14 | lightweight_dataset module loaded
2026-09-17 13:03:04,283 | INFO | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:15 | lightweight_dataset info test
2026-09-17 13:03:04,283 | WARNING | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:16 | lightweight_dataset warning test
2026-09-17 13:03:07,716 | DEBUG | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:14 | lightweight_dataset module loaded
2026-09-17 13:03:07,716 | INFO | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:15 | lightweight_dataset info test
2026-09-17 13:03:07,716 | WARNING | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:16 | lightweight_dataset warning test
2026-09-17 13:04:04,637 | DEBUG | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:14 | lightweight_dataset module loaded
2026-09-17 13:04:04,637 | INFO | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:15 | lightweight_dataset info test
2026-09-17 13:04:04,637 | WARNING | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:16 | lightweight_dataset warning test
2026-09-17 13:04:07,084 | DEBUG | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:14 | lightweight_dataset module loaded
2026-09-17 13:04:07,084 | INFO | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:15 | lightweight_dataset info test
2026-09-17 13:04:07,084 | WARNING | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:16 | lightweight_dataset warning test
2026-09-17 13:04:11,582 | DEBUG | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:14 | lightweight_dataset module loaded
2026-09-17 13:04:11,582 | INFO | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:15 | lightweight_dataset info test
2026-09-17 13:04:11,582 | WARNING | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:16 | lightweight_dataset warning test
2026-09-17 13:04:16,360 | DEBUG | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:14 | lightweight_dataset module loaded
2026-09-17 13:04:16,360 | INFO | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:15 | lightweight_dataset info test
2026-09-17 13:04:16,360 | WARNING | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:16 | lightweight_dataset warning test
2026-09-17 13:04:55,356 | INFO | hgnc_app.modules.lightweight_dataset | lightweight_dataset.py:32 | Results returned successfully
